BCL6   	CCL11  	0.0090429
IL4    	KITLG  	0.018086
IL4    	MAF    	0.029442
IL4    	MMP9   	0.015963
IL4    	MS4A2  	0
IL4    	PDCD1  	0.011576
IL4    	PPARG  	0.012276
IL4    	RETNLB 	0.014158
IL4    	RORC   	0.017989
IL4    	SATB1  	0.013453
IL4    	STAT5A 	0.018383
IL4    	STAT6  	0.019465
IL4    	TBX21  	0.018896
IL4    	TGFB1  	0.016864
IL4    	TNFRSF4	0.0098448
IL4    	TNFSF4 	0.0046782
IL4    	TSLP   	0.019041
IL4R   	IL5    	0.017905
IL4R   	IL5RA  	0.018072
IL4R   	IL9    	0.019873
IL4R   	KIT    	0.019772
IL4R   	KITLG  	0.020221
IL4R   	MAF    	0.014879
IL4R   	MMP9   	0.016006
IL4R   	MS4A2  	0
IL4R   	PDCD1  	0.012665
IL4R   	PPARG  	0.012676
IL4R   	RETNLB 	0.017628
IL4R   	RORC   	0.018644
IL4R   	SATB1  	0.012488
IL4R   	STAT5A 	0.020775
IL4R   	STAT6  	0.021174
IL4R   	TBX21  	0.01988
IL4R   	TGFB1  	0.017975
IL4R   	TNFRSF4	0.012797
IL4R   	TNFSF4 	0.0067373
IL4R   	TSLP   	0.014285
IL5    	IL5RA  	0.025965
IL5    	IL9    	0.019592
IL5    	KIT    	0.014192
IL5    	KITLG  	0.013793
IL5    	MAF    	0.012414
IL5    	MMP9   	0.015391
IL5    	MS4A2  	0
IL5    	PDCD1  	0.010949
IL5    	PPARG  	0.012214
IL5    	RETNLB 	0.012155
IL5    	RORC   	0.017088
IL5    	SATB1  	0.014218
IL5    	STAT5A 	0.016004
IL5    	STAT6  	0.017491
IL5    	TBX21  	0.017263
IL5    	TGFB1  	0.016416
IL5    	TNFRSF4	0.010687
IL5    	TNFSF4 	0.0053712
IL5    	TSLP   	0.022103
IL5RA  	IL9    	0.024706
IL5RA  	KIT    	0.017756
IL5RA  	KITLG  	0.014727
IL5RA  	MAF    	0.0098775
IL5RA  	MMP9   	0.013136
IL5RA  	MS4A2  	0
IL5RA  	PDCD1  	0.0076852
IL5RA  	PPARG  	0.0086968
IL5RA  	RETNLB 	0.0080014
IL5RA  	RORC   	0.013203
IL5RA  	SATB1  	0.0088041
IL5RA  	STAT5A 	0.017569
IL5RA  	STAT6  	0.016876
IL5RA  	TBX21  	0.016173
IL5RA  	TGFB1  	0.014992
IL5RA  	TNFRSF4	0.010168
IL5RA  	TNFSF4 	0.0039887
IL5RA  	TSLP   	0.017732
IL9    	KIT    	0.015773
IL9    	KITLG  	0.015409
IL9    	MAF    	0.014949
IL9    	MMP9   	0.015956
IL9    	MS4A2  	0
IL9    	PDCD1  	0.011853
IL9    	PPARG  	0.011657
IL9    	RETNLB 	0.01155
IL9    	RORC   	0.017198
IL9    	SATB1  	0.011187
IL9    	STAT5A 	0.017608
IL9    	STAT6  	0.019124
IL9    	TBX21  	0.01879
IL9    	TGFB1  	0.017127
IL9    	TNFRSF4	0.010235
IL9    	TNFSF4 	0.0043548
IL9    	TSLP   	0.016392
KIT    	KITLG  	0.089886
KIT    	MAF    	0.0086318
KIT    	MMP9   	0.009693
KIT    	MS4A2  	0
KIT    	PDCD1  	0.0062008
KIT    	PPARG  	0.0060351
KIT    	RETNLB 	0.0058645
KIT    	RORC   	0.013532
KIT    	SATB1  	0.0057949
KIT    	STAT5A 	0.054888
KIT    	STAT6  	0.01407
KIT    	TBX21  	0.017305
KIT    	TGFB1  	0.011393
KIT    	TNFRSF4	0.0062011
KIT    	TNFSF4 	0.0021223
KIT    	TSLP   	0.0093327
KITLG  	MAF    	0.012757
KITLG  	MMP9   	0.0095069
KITLG  	MS4A2  	0
KITLG  	PDCD1  	0.0060829
KITLG  	PPARG  	0.0058596
KITLG  	RETNLB 	0.0067296
KITLG  	RORC   	0.014063
KITLG  	SATB1  	0.0065232
KITLG  	STAT5A 	0.054039
KITLG  	STAT6  	0.014718
KITLG  	TBX21  	0.017741
KITLG  	TGFB1  	0.011383
KITLG  	TNFRSF4	0.0058946
KITLG  	TNFSF4 	0.001954
KITLG  	TSLP   	0.010701
MAF    	MMP9   	0.0078303
MAF    	MS4A2  	0
MAF    	PDCD1  	0.0041206
MAF    	PPARG  	0.0045543
MAF    	RETNLB 	0.0063198
MAF    	RORC   	0.0091333
MAF    	SATB1  	0.0060586
MAF    	STAT5A 	0.010592
MAF    	STAT6  	0.014158
MAF    	TBX21  	0.013192
MAF    	TGFB1  	0.0090004
MAF    	TNFRSF4	0.0046782
MAF    	TNFSF4 	0.0015359
MAF    	TSLP   	0.014814
MMP9   	MS4A2  	0
MMP9   	PDCD1  	0.012466
MMP9   	PPARG  	0.093205
MMP9   	RETNLB 	0.0071544
MMP9   	RORC   	0.019645
MMP9   	SATB1  	0.0068805
MMP9   	STAT5A 	0.01345
MMP9   	STAT6  	0.016052
MMP9   	TBX21  	0.017255
MMP9   	TGFB1  	0.045367
MMP9   	TNFRSF4	0.0056457
MMP9   	TNFSF4 	0.0017997
MMP9   	TSLP   	0.0093645
MS4A2  	PDCD1  	0
MS4A2  	PPARG  	0
MS4A2  	RETNLB 	0
MS4A2  	RORC   	0
MS4A2  	SATB1  	0
MS4A2  	STAT5A 	0
MS4A2  	STAT6  	0
MS4A2  	TBX21  	0
MS4A2  	TGFB1  	0
MS4A2  	TNFRSF4	0
MS4A2  	TNFSF4 	0
MS4A2  	TSLP   	0
PDCD1  	PPARG  	0.0072451
PDCD1  	RETNLB 	0.0045725
PDCD1  	RORC   	0.013618
PDCD1  	SATB1  	0.005022
PDCD1  	STAT5A 	0.011098
PDCD1  	STAT6  	0.012335
PDCD1  	TBX21  	0.021292
PDCD1  	TGFB1  	0.013468
PDCD1  	TNFRSF4	0.0044237
PDCD1  	TNFSF4 	0.0012501
PDCD1  	TSLP   	0.005397
PPARG  	RETNLB 	0.00443
PPARG  	RORC   	0.01549
PPARG  	SATB1  	0.0044513
PPARG  	STAT5A 	0.0098743
PPARG  	STAT6  	0.012232
PPARG  	TBX21  	0.013982
PPARG  	TGFB1  	0.078608
PPARG  	TNFRSF4	0.003623
PPARG  	TNFSF4 	0.00097502
PPARG  	TSLP   	0.0060818
RETNLB 	RORC   	0.010229
RETNLB 	SATB1  	0.0078558
RETNLB 	STAT5A 	0.0099822
RETNLB 	STAT6  	0.04122
RETNLB 	TBX21  	0.014139
RETNLB 	TGFB1  	0.0095079
RETNLB 	TNFRSF4	0.0036476
RETNLB 	TNFSF4 	0.001059
RETNLB 	TSLP   	0.0073341
RORC   	SATB1  	0.012908
RORC   	STAT5A 	0.020059
RORC   	STAT6  	0.018952
RORC   	TBX21  	0.029129
RORC   	TGFB1  	0.021418
RORC   	TNFRSF4	0.0083452
RORC   	TNFSF4 	0.0029759
RORC   	TSLP   	0.010713
SATB1  	STAT5A 	0.0099693
SATB1  	STAT6  	0.016296
SATB1  	TBX21  	0.016916
SATB1  	TGFB1  	0.0098354
SATB1  	TNFRSF4	0.0037099
SATB1  	TNFSF4 	0.0010605
SATB1  	TSLP   	0.0079466
STAT5A 	STAT6  	0.017168
STAT5A 	TBX21  	0.019593
STAT5A 	TGFB1  	0.015226
STAT5A 	TNFRSF4	0.0086409
STAT5A 	TNFSF4 	0.0035476
STAT5A 	TSLP   	0.011295
STAT6  	TBX21  	0.019289
STAT6  	TGFB1  	0.017225
STAT6  	TNFRSF4	0.0087798
STAT6  	TNFSF4 	0.0036476
STAT6  	TSLP   	0.014178
TBX21  	TGFB1  	0.018771
TBX21  	TNFRSF4	0.0092705
TBX21  	TNFSF4 	0.0038325
TBX21  	TSLP   	0.013073
TGFB1  	TNFRSF4	0.0074222
TGFB1  	TNFSF4 	0.0027984
TGFB1  	TSLP   	0.010828
TNFRSF4	TNFSF4 	0.28469
TNFRSF4	TSLP   	0.0061223
TNFSF4 	TSLP   	0.0022666
