	ADAM33	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	RETNLB	RNASE2	RNASE3	RORC	SATB1	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
RETNLB	0.0051971	0.0047036	0.0024563	0.19685	0.0081062	0.0067326	0.0070842	0.0066686	0.0064923	0.0078267	0.0078267	0.0066553	0.0056917	0.0070893	0.0066963	0.0067182	0.0071444	0.0029904	0.0040417	0.0048892	0.0017681	0.0055231	0.0066852	0.0053671	0.0035251	0.005383	0.0035867	0.0072239	0.0074656	0.0074009	0.0074107	0.0071221	0.0064633	0.0071361	0.0076088	0.0074581	0.0071063	0.0084875	0.0080085	0.0069816	0.0051739	0.0070862	0.00621	0.0068982	0.0061882	0.0071459	0.0064766	0.0063254	0.0062081	0.0068456	0.0071365	0.006769	0.0064394	0.0068761	0.0056648	0.005927	0.0032718	0.0081664	0.0060206	0.11514	0.0045196	0.0058907	0.0030897	0.0014628	0.0060724	0.22579	0.0049296	0.0061667	0.0064011	0.0056801	0.0064834	0.015102	0.007526	0.0064963	0.006406	0.0060694	0.006371	
RNASE2	0.0095333	0.011913	0.0057844	0.0014772	0.012098	0.015224	0.012961	0.01287	0.012926	0.012766	0.012766	0.013051	0.012273	0.014116	0.012831	0.013071	0.012405	0.081137	0.007771	0.010225	0.0043275	0.0117	0.014333	0.012493	0.011405	0.032927	0.007116	0.012311	0.012109	0.012799	0.011828	0.012433	0.011093	0.012312	0.012122	0.012373	0.012501	0.011647	0.012024	0.012495	0.011761	0.012507	0.012097	0.012398	0.012667	0.012687	0.012975	0.012617	0.012575	0.012358	0.012239	0.013695	0.013003	0.012379	0.012125	0.012242	0.0099658	0.011724	0.011764	0.00040775	0.0085975	0.010192	0.009329	0.0030428	0.012423	0.0049296	0.043503	0.016595	0.011765	0.011363	0.012445	0.012294	0.012182	0.012562	0.011401	0.01113	0.012516	
RNASE3	0.011608	0.012596	0.0076601	0.0020057	0.013964	0.014195	0.014068	0.014028	0.014108	0.014131	0.014131	0.014066	0.014	0.01423	0.014101	0.01416	0.013954	0.018802	0.0096254	0.012358	0.0063389	0.01383	0.014141	0.014459	0.011516	0.016355	0.010153	0.013953	0.013832	0.013823	0.013793	0.013892	0.013463	0.013851	0.01388	0.013901	0.013827	0.013778	0.013959	0.013917	0.013293	0.013876	0.013854	0.013962	0.013939	0.014063	0.014121	0.014009	0.014107	0.013812	0.013707	0.013971	0.014222	0.013734	0.013918	0.01368	0.011076	0.013841	0.013332	0.00058931	0.011398	0.012763	0.009649	0.0042856	0.013985	0.0061667	0.016595	0.015172	0.013907	0.013339	0.014	0.013687	0.013908	0.013966	0.013891	0.013734	0.013995	
RORC	0.010275	0.011389	0.0087877	0.0020693	0.015018	0.013937	0.014254	0.014493	0.014312	0.014139	0.014139	0.014225	0.013637	0.014052	0.014337	0.014143	0.014479	0.0080254	0.0095703	0.012285	0.0056672	0.013859	0.014037	0.013637	0.0092799	0.012446	0.0091482	0.014843	0.01453	0.013498	0.014787	0.01458	0.014946	0.01449	0.014843	0.014607	0.014203	0.014228	0.014323	0.014728	0.013935	0.014318	0.014573	0.014909	0.014307	0.014382	0.014225	0.014406	0.014058	0.014144	0.013871	0.014033	0.014172	0.014046	0.013727	0.013629	0.0090815	0.015086	0.014141	0.00060194	0.010667	0.014494	0.0079969	0.0040307	0.016742	0.0064011	0.011765	0.013907	0.019211	0.013346	0.014422	0.014151	0.015058	0.014443	0.014696	0.014431	0.014347	
SATB1	0.01002	0.010793	0.0057388	0.0017288	0.013605	0.01313	0.013451	0.013519	0.013458	0.013707	0.013707	0.013454	0.012028	0.01335	0.013549	0.013293	0.013563	0.0078153	0.0083669	0.011297	0.0050456	0.012118	0.013266	0.012004	0.0083113	0.011933	0.010954	0.013987	0.019674	0.013059	0.013657	0.01372	0.012746	0.013794	0.013849	0.013765	0.013661	0.013561	0.013569	0.013883	0.012927	0.013737	0.015956	0.013773	0.013616	0.013615	0.013396	0.014085	0.013285	0.014774	0.013658	0.014743	0.013339	0.013283	0.01278	0.012854	0.008229	0.015129	0.01251	0.00048014	0.011859	0.011868	0.010388	0.0031991	0.01313	0.0056801	0.011363	0.013339	0.013346	0.068672	0.013346	0.013671	0.01425	0.013589	0.013371	0.013137	0.013493	
STAT5A	0.011766	0.012224	0.0081883	0.0022115	0.014487	0.013837	0.014271	0.014136	0.014354	0.014171	0.014171	0.014085	0.01529	0.014144	0.014295	0.014296	0.014155	0.0094963	0.010126	0.013023	0.0078466	0.015571	0.01403	0.01591	0.010658	0.012975	0.01035	0.014179	0.014006	0.013735	0.014104	0.014086	0.014005	0.014056	0.014121	0.014083	0.013951	0.014015	0.014101	0.014087	0.013413	0.013973	0.014003	0.014191	0.014012	0.014153	0.014256	0.014107	0.01447	0.013958	0.013847	0.01389	0.014293	0.013896	0.014367	0.013889	0.010876	0.014164	0.013565	0.00068451	0.0117	0.013554	0.0089972	0.0049333	0.014293	0.0064834	0.012445	0.014	0.014422	0.013346	0.01442	0.01383	0.014171	0.014098	0.014206	0.014188	0.014308	
STAT6	0.012992	0.011813	0.0078786	0.0094744	0.014253	0.013577	0.013881	0.013841	0.013898	0.014091	0.014091	0.013793	0.013921	0.013841	0.01395	0.013961	0.01391	0.0095902	0.0102	0.01209	0.0062613	0.013772	0.013652	0.013567	0.01024	0.012772	0.010409	0.013975	0.013977	0.013809	0.014066	0.013906	0.014313	0.013892	0.014064	0.013978	0.013768	0.014403	0.014061	0.013867	0.013269	0.013778	0.014017	0.013954	0.013771	0.013893	0.013781	0.01389	0.013737	0.013731	0.013744	0.013664	0.013878	0.013616	0.013466	0.013326	0.010068	0.014247	0.013213	0.0047504	0.011733	0.013966	0.0090329	0.0051742	0.013861	0.015102	0.012294	0.013687	0.014151	0.013671	0.01383	0.014013	0.014026	0.013795	0.014129	0.014083	0.013863	
TBX21	0.011385	0.011936	0.0081108	0.0029288	0.014819	0.013781	0.014131	0.01416	0.014162	0.014173	0.014173	0.014061	0.01386	0.014005	0.014176	0.014092	0.014281	0.0089893	0.010164	0.012342	0.0062324	0.01402	0.013929	0.013918	0.010092	0.012744	0.010267	0.014365	0.014381	0.013656	0.014563	0.014268	0.015121	0.014279	0.014514	0.014357	0.014039	0.014309	0.014251	0.014258	0.013801	0.014123	0.014576	0.01439	0.014142	0.014205	0.014093	0.014284	0.014048	0.014019	0.013877	0.013958	0.014135	0.013901	0.013775	0.013613	0.010024	0.014787	0.013583	0.0010275	0.011581	0.0149	0.0092691	0.0049185	0.014446	0.007526	0.012182	0.013908	0.015058	0.01425	0.014171	0.014026	0.014476	0.01415	0.014647	0.014623	0.01421	
TGFB1	0.011298	0.012559	0.01208	0.0022042	0.014213	0.013785	0.014045	0.014084	0.014081	0.014092	0.014092	0.014019	0.013916	0.013964	0.01409	0.014044	0.014106	0.0097705	0.010338	0.013135	0.0081404	0.013993	0.013932	0.014324	0.011163	0.01302	0.010278	0.014133	0.014055	0.013597	0.01416	0.014078	0.014402	0.014081	0.014186	0.014113	0.013931	0.014095	0.0141	0.014084	0.01366	0.013993	0.014198	0.014134	0.014017	0.014076	0.014079	0.014125	0.014132	0.0139	0.013757	0.01385	0.014115	0.013848	0.014132	0.013839	0.011475	0.014216	0.01394	0.00067384	0.011537	0.014068	0.0092986	0.0051615	0.014307	0.0064963	0.012562	0.013966	0.014443	0.013589	0.014098	0.013795	0.01415	0.014121	0.014229	0.014154	0.014082	
TNFRSF4	0.010257	0.010965	0.0072973	0.0020873	0.014778	0.01362	0.014215	0.014197	0.014207	0.013977	0.013977	0.014095	0.013114	0.013874	0.014111	0.013908	0.015381	0.0076758	0.0091912	0.012132	0.0056937	0.013849	0.013934	0.013568	0.0086415	0.012174	0.010557	0.014933	0.014335	0.01335	0.016464	0.014404	0.014059	0.014489	0.014492	0.014335	0.014044	0.014079	0.014375	0.014353	0.012721	0.01413	0.01389	0.014605	0.014007	0.014781	0.014202	0.014178	0.01419	0.01437	0.013853	0.013915	0.014125	0.013951	0.013699	0.013497	0.0086106	0.015149	0.013567	0.00061376	0.01164	0.016234	0.0078102	0.0037154	0.014123	0.006406	0.011401	0.013891	0.014696	0.013371	0.014206	0.014129	0.014647	0.014229	0.021265	0.02214	0.014852	
TNFSF4	0.0097157	0.010738	0.0070243	0.001887	0.014746	0.013527	0.014305	0.014156	0.014299	0.013825	0.013825	0.01405	0.012779	0.013765	0.014026	0.013777	0.015759	0.0073024	0.0089638	0.01197	0.0054946	0.01471	0.013883	0.013306	0.0083418	0.011919	0.010495	0.014956	0.014249	0.013158	0.017125	0.014365	0.013602	0.014465	0.014368	0.014221	0.014001	0.013874	0.014183	0.014354	0.012748	0.014108	0.013797	0.014635	0.014124	0.014765	0.014168	0.014282	0.014112	0.01446	0.01372	0.013876	0.013948	0.013911	0.01356	0.013385	0.0082966	0.015193	0.013486	0.00053115	0.011463	0.016364	0.0075447	0.0035211	0.013949	0.0060694	0.01113	0.013734	0.014431	0.013137	0.014188	0.014083	0.014623	0.014154	0.02214	0.027408	0.015446	
TSLP	0.011132	0.012012	0.0078061	0.0021183	0.014349	0.013854	0.01445	0.014157	0.014577	0.014195	0.014195	0.014098	0.014185	0.014091	0.01426	0.014226	0.014277	0.0096296	0.010607	0.012485	0.0066541	0.017054	0.013972	0.014291	0.01031	0.013006	0.010213	0.014254	0.014109	0.013648	0.014353	0.014102	0.013837	0.014071	0.014144	0.014093	0.014023	0.014011	0.01411	0.014193	0.014696	0.014057	0.014467	0.014255	0.014418	0.014175	0.014142	0.014418	0.01413	0.014002	0.013777	0.013962	0.014182	0.013923	0.013917	0.013668	0.010217	0.014263	0.013481	0.00063703	0.011449	0.013479	0.0092566	0.0055564	0.014179	0.006371	0.012516	0.013995	0.014347	0.013493	0.014308	0.013863	0.01421	0.014082	0.014852	0.015446	0.014657	
