       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
PPARG  	0.010751	0.012465	0.014228	0.0019749	0.014264	0.013903	0.01406	0.014258	0.01413	0.013989	0.013989	0.014008	0.013986	0.013944	0.014141	0.014058	0.014094	0.011378	0.0094637	0.0132	0.010452	0.014053	0.013873	0.013869	0.011649	0.013143	0.010018	0.01426	0.014003	0.013489	0.014069	0.014103	0.013915	0.014046	0.014182	0.014099	0.013899	0.013832	0.013945	0.014268	0.013539	0.013998	0.014063	0.014278	0.013982	0.013998	0.013956	0.01407	0.01385	0.013858	0.013632	0.013777	0.01398	0.013773	0.013291	0.01336	0.010499	0.014203	0.014486	0.0019749	0.011216	0.013208	0.0079065	0.0040501	0.016384	0.0049718	0.012822	0.013526	0.016635	0.013036	0.014121	0.013715	0.014328	0.014158	0.014006	0.013841	0.014057                                                                         
RETNLB 	0.0042928	0.0041033	0.0020671	0.21717	0.0065464	0.0054978	0.0057568	0.0054231	0.0052915	0.0063327	0.0063327	0.0053958	0.0046868	0.0057621	0.0054492	0.0054682	0.0057979	0.0032604	0.003335	0.0040757	0.0024554	0.0045518	0.0054312	0.0044055	0.003431	0.0045036	0.0029895	0.0058629	0.0060532	0.0060015	0.0060143	0.0057777	0.0052877	0.0057921	0.0061639	0.0060456	0.0057675	0.0068433	0.0064644	0.0056749	0.0042795	0.0057675	0.0050889	0.0056001	0.0050585	0.0057857	0.0052395	0.005166	0.0050172	0.0055519	0.0057893	0.0055062	0.0052409	0.0055812	0.004343	0.0046752	0.002868	0.006594	0.0049144	0.21717	0.0037351	0.0048438	0.0025799	0.0012421	0.0049718	0.18659	0.0042024	0.0048296	0.0052329	0.0046725	0.0052567	0.012265	0.0060984	0.0052722	0.0052326	0.0049781	0.0051936      
RNASE2 	0.0098057	0.012334	0.0059576	0.0015657	0.012477	0.015463	0.013362	0.01329	0.013335	0.013147	0.013147	0.013697	0.012595	0.014336	0.013246	0.013462	0.012852	0.054672	0.0080195	0.01092	0.0076407	0.012058	0.014603	0.012909	0.011955	0.029477	0.0073955	0.012739	0.01251	0.013188	0.012228	0.01285	0.01145	0.012746	0.012527	0.012774	0.012919	0.012048	0.01249	0.012913	0.012084	0.012931	0.012464	0.012829	0.013061	0.013382	0.013596	0.013013	0.01296	0.012863	0.012644	0.014004	0.013446	0.012818	0.011885	0.012571	0.010298	0.012126	0.012195	0.0015657	0.0089167	0.010518	0.0095263	0.0031212	0.012822	0.0042024	0.037911	0.021852	0.012154	0.011723	0.012838	0.012663	0.012589	0.012987	0.011866	0.011538	0.012933                                                                  
RNASE3 	0.011072	0.012694	0.0072553	0.0019695	0.013421	0.014444	0.013731	0.013687	0.013751	0.013707	0.013707	0.013854	0.013482	0.014131	0.013721	0.013815	0.013527	0.031668	0.0091747	0.012225	0.0095816	0.013228	0.014137	0.013876	0.012152	0.020247	0.0095932	0.01349	0.013342	0.013502	0.013263	0.013479	0.012843	0.013425	0.013382	0.01346	0.013448	0.013204	0.013438	0.013508	0.012789	0.013497	0.013335	0.01352	0.013543	0.013777	0.013843	0.013585	0.013591	0.013445	0.013296	0.013854	0.013852	0.013363	0.012826	0.013129	0.011024	0.013263	0.012925	0.0019695	0.010821	0.012138	0.0093226	0.0040377	0.013526	0.0048296	0.021852	0.017617	0.013314	0.012801	0.013519	0.013255	0.013416	0.013544	0.013285	0.013098	0.013566                                                                
RORC   	0.010213	0.012057	0.0087494	0.0021433	0.014898	0.013896	0.014139	0.014375	0.014202	0.014032	0.014032	0.014069	0.013537	0.013949	0.014228	0.014041	0.014346	0.01021	0.0095046	0.012422	0.0087812	0.013751	0.013903	0.013458	0.010782	0.012651	0.0090786	0.014719	0.014416	0.013398	0.014674	0.014448	0.014851	0.014362	0.014727	0.014488	0.014083	0.014113	0.014194	0.01461	0.013859	0.014244	0.01449	0.014784	0.014205	0.014216	0.014014	0.014302	0.013796	0.013993	0.013744	0.013928	0.014031	0.013915	0.012828	0.013157	0.0095673	0.014972	0.014041	0.0021433	0.010584	0.014408	0.0079543	0.0040117	0.016635	0.0052329	0.012154	0.013314	0.019108	0.013255	0.014234	0.014001	0.014939	0.014282	0.014581	0.014326	0.014222                                                               
SATB1  	0.0099654	0.011345	0.0057055	0.0017856	0.013499	0.013097	0.01335	0.013415	0.013361	0.013613	0.013613	0.013313	0.01194	0.01326	0.013453	0.013204	0.013445	0.0098074	0.0083092	0.01142	0.0078646	0.012024	0.013145	0.011847	0.0097058	0.012125	0.010893	0.013877	0.019573	0.012972	0.013558	0.013603	0.012662	0.01368	0.013746	0.01366	0.013556	0.01346	0.013456	0.013778	0.01286	0.013668	0.015881	0.013662	0.013527	0.013467	0.013206	0.013992	0.01305	0.014639	0.013545	0.014648	0.013215	0.013165	0.011943	0.012389	0.0086277	0.015029	0.012422	0.0017856	0.011786	0.011792	0.010349	0.0031824	0.013036	0.0046725	0.011723	0.012801	0.013255	0.068592	0.013177	0.01354	0.014145	0.013444	0.01327	0.013044	0.013383                                                                      
STAT5A 	0.01163	0.013048	0.0081077	0.002286	0.014287	0.013768	0.014095	0.013964	0.014179	0.01399	0.01399	0.013896	0.015103	0.013985	0.01412	0.014126	0.013965	0.011573	0.010002	0.013606	0.012738	0.015374	0.013881	0.015636	0.012441	0.013175	0.010207	0.013989	0.013821	0.013571	0.013914	0.013903	0.013822	0.013872	0.013932	0.013897	0.013775	0.013819	0.013901	0.013911	0.013262	0.013856	0.013847	0.014005	0.013847	0.013939	0.014031	0.013939	0.014206	0.013777	0.013662	0.013743	0.014092	0.013742	0.013906	0.013633	0.011829	0.013969	0.013447	0.002286	0.011539	0.013381	0.0089075	0.0048804	0.014121	0.0052567	0.012838	0.013519	0.014234	0.013177	0.014204	0.013617	0.013983	0.013902	0.014005	0.013996	0.014122                                                                      
STAT6  	0.01289	0.012273	0.0078236	0.010266	0.014073	0.013493	0.01372	0.013683	0.013747	0.013927	0.013927	0.013612	0.013781	0.013695	0.013797	0.013814	0.013734	0.011505	0.010107	0.012281	0.0094707	0.013625	0.01349	0.013358	0.011396	0.012964	0.010313	0.013803	0.013811	0.013658	0.013901	0.013734	0.014169	0.01372	0.013894	0.013808	0.013604	0.014224	0.013878	0.013704	0.013156	0.013649	0.013887	0.013785	0.013629	0.013694	0.013555	0.013743	0.013466	0.013549	0.013572	0.013521	0.013702	0.013451	0.012686	0.012951	0.010472	0.014071	0.013083	0.010266	0.011617	0.013836	0.0089677	0.005144	0.013715	0.012265	0.012663	0.013255	0.014001	0.01354	0.013617	0.013753	0.013855	0.013607	0.013969	0.013934	0.0137                                                                          
TBX21  	0.011309	0.012486	0.0080659	0.0030708	0.014682	0.013734	0.014005	0.014033	0.014042	0.014051	0.014051	0.013906	0.013746	0.013894	0.014055	0.013979	0.014139	0.011097	0.010089	0.012562	0.0095951	0.013897	0.013796	0.013727	0.011449	0.012966	0.010186	0.014229	0.014253	0.013544	0.014435	0.01413	0.01501	0.014142	0.014383	0.014226	0.01391	0.014177	0.014109	0.014129	0.013711	0.014032	0.014477	0.014254	0.01403	0.014036	0.013889	0.014167	0.013796	0.013867	0.01374	0.013846	0.013986	0.013768	0.012981	0.013235	0.010508	0.014656	0.01348	0.0030708	0.011486	0.014799	0.0092172	0.0048944	0.014328	0.0060984	0.012589	0.013416	0.014939	0.014145	0.013983	0.013855	0.014344	0.013989	0.014518	0.014503	0.014075                                                                     
TGFB1  	0.011182	0.013452	0.011994	0.0022795	0.014041	0.01375	0.013897	0.013938	0.013934	0.013938	0.013938	0.013859	0.013757	0.013832	0.013943	0.013903	0.013941	0.011834	0.010225	0.013384	0.011416	0.013823	0.013808	0.014084	0.013062	0.013254	0.01015	0.013969	0.013896	0.013462	0.013997	0.013921	0.014243	0.013921	0.014023	0.013954	0.01378	0.013924	0.013924	0.013933	0.013534	0.013906	0.014072	0.013973	0.013879	0.013889	0.013878	0.013985	0.013887	0.013736	0.013597	0.013733	0.013941	0.013707	0.013513	0.013668	0.012652	0.014047	0.013815	0.0022795	0.011393	0.013917	0.0092267	0.0051115	0.014158	0.0052722	0.012987	0.013544	0.014282	0.013444	0.013902	0.013607	0.013989	0.013955	0.014053	0.013984	0.013921                                                                    
TNFRSF4	0.010187	0.011694	0.0072539	0.0021622	0.014647	0.01358	0.014091	0.014069	0.014087	0.01386	0.01386	0.013927	0.013004	0.013765	0.013992	0.013798	0.015238	0.010129	0.0091176	0.012271	0.0088802	0.01373	0.013796	0.013374	0.010271	0.012429	0.010479	0.014797	0.01421	0.013241	0.016341	0.014261	0.013953	0.014351	0.014364	0.014205	0.013915	0.013952	0.014234	0.014224	0.012636	0.01405	0.013798	0.014468	0.013896	0.014604	0.013979	0.014064	0.013914	0.014209	0.013716	0.013803	0.013973	0.013808	0.012802	0.012975	0.0091233	0.015023	0.013457	0.0021622	0.011547	0.016138	0.0077621	0.0036934	0.014006	0.0052326	0.011866	0.013285	0.014581	0.01327	0.014005	0.013969	0.014518	0.014053	0.021137	0.022023	0.014716                                                                    
TNFSF4 	0.0096529	0.011464	0.0069859	0.0019503	0.014625	0.013488	0.014189	0.014035	0.014187	0.013717	0.013717	0.013887	0.012677	0.01366	0.013915	0.013674	0.015624	0.0096047	0.008897	0.012099	0.0085954	0.014601	0.013747	0.013123	0.0099571	0.012134	0.010424	0.014828	0.014134	0.013056	0.017011	0.014229	0.013506	0.014335	0.014249	0.0141	0.013879	0.013758	0.014052	0.014233	0.012671	0.014035	0.013713	0.014507	0.014021	0.014594	0.01395	0.014177	0.013844	0.014305	0.01359	0.013768	0.013805	0.013774	0.012661	0.012847	0.0087834	0.015078	0.013383	0.0019503	0.011379	0.016277	0.0075013	0.003502	0.013841	0.0049781	0.011538	0.013098	0.014326	0.013044	0.013996	0.013934	0.014503	0.013984	0.022023	0.027302	0.015319                                                                 
TSLP   	0.01105	0.012597	0.0077566	0.0021948	0.014209	0.013811	0.014323	0.014029	0.014454	0.014071	0.014071	0.013947	0.014064	0.01398	0.014137	0.01411	0.014134	0.01168	0.010526	0.01275	0.010178	0.016924	0.013844	0.014091	0.011685	0.013239	0.010125	0.014116	0.013979	0.013535	0.014222	0.013963	0.013719	0.013933	0.014011	0.01396	0.013893	0.013876	0.013966	0.014063	0.014601	0.013968	0.014364	0.014117	0.014303	0.014008	0.013943	0.014298	0.013882	0.013852	0.013639	0.013852	0.014031	0.013793	0.01318	0.013318	0.010755	0.014129	0.01338	0.0021948	0.011347	0.01337	0.0092012	0.0055287	0.014057	0.0051936	0.012933	0.013566	0.014222	0.013383	0.014122	0.0137	0.014075	0.013921	0.014716	0.015319	0.01452                                                                            
